Model,Repetition,Feature,Mean_Absolute_SHAP,Normalized_SHAP
XGB,5,uniq_Op,0.002592830717767356,0.0033906381273245785
XGB,5,uniq_Opnd,0.014864213807353128,0.01943789454612519
XGB,5,total_Op,0.03373963871349891,0.04412123963212408
XGB,5,total_Opnd,0.006938456274025763,0.009073401601684147
XGB,5,branchCount,0.01301603280386189,0.017021032954007684
LGBM,5,loc,0.11627211717572304,0.3581313498612218
LGBM,5,v(g),0.013340871437522557,0.041091401896675414
LGBM,5,ev(g),0.01288366982680134,0.039683168917148126
LGBM,5,iv(g),0.024498381493775014,0.07545780232522253
LGBM,5,n,0.0049542173039471655,0.015259552966486078
LGBM,5,v,0.004274827933094696,0.013166956406151294
LGBM,5,l,0.006965561186050827,0.021454720965743034
LGBM,5,d,0.01346685136289546,0.04147943440029817
LGBM,5,i,0.006701841461993349,0.020642434210707897
LGBM,5,e,0.024191536901936372,0.07451268607085254
LGBM,5,b,0.005191567936907395,0.015990619920775703
LGBM,5,t,8.982670981677197e-05,0.000276676486346717
LGBM,5,lOCode,0.008191676575840946,0.025231295868628156
LGBM,5,lOComment,0.004537754535996721,0.013976800257789596
